R85	0x005500
R84	0x005400
R83	0x005300
R82	0x005204
R81	0x005100
R80	0x005000
R79	0x004F00
R78	0x004EFC
R77	0x004D00
R76	0x004C00
R75	0x004B00
R74	0x004A00
R73	0x004900
R72	0x004800
R71	0x004700
R70	0x004608
R69	0x004500
R68	0x004400
R67	0x004300
R66	0x004200
R65	0x004100
R64	0x004000
R63	0x003F00
R62	0x003E00
R61	0x003D00
R60	0x003C00
R59	0x003B00
R58	0x003A20
R57	0x003900
R56	0x00380F
R55	0x00376F
R54	0x00366F
R53	0x00350F
R52	0x00348F
R51	0x00330F
R50	0x00320F
R49	0x0031AF
R48	0x00300F
R47	0x002F4F
R46	0x002E30
R45	0x002D00
R44	0x002C00
R43	0x002B00
R42	0x002A00
R41	0x002900
R40	0x002800
R39	0x00275A
R38	0x002618
R37	0x002517
R36	0x0024F2
R35	0x002341
R34	0x002200
R33	0x00210F
R32	0x002000
R31	0x001F32
R30	0x001E0A
R29	0x001D00
R28	0x001C1F
R27	0x001B09
R26	0x001A00
R25	0x001901
R24	0x001800
R23	0x001700
R22	0x001600
R21	0x001500
R20	0x001400
R19	0x001300
R18	0x00125C
R17	0x001100
R16	0x001060
R15	0x000F00
R14	0x000E00
R13	0x000D00
R12	0x000C00
R11	0x000B00
R10	0x000A00
R9	0x000900
R8	0x000800
R7	0x000700
R6	0x000600
R5	0x000500
R4	0x000400
R3	0x000300
R2	0x000201
R1	0x000100
R0	0x000018
